,tag,tweets
22,TwelveMonkeys,"Did you know? We have 65 varieties of Twelve Monkeys for your vaping enjoyment! Made here in Canada, check out a new favourite here: https://t.co/BKCeeNRWM3
#twelvemonkeys #eliquids #vape https://t.co/jQTuUrnY4R"
23,TwelveMonkeys,"Which Bruce Willis movie is your favorite? #FilmTwitter

#pulpfiction #sincity #twelvemonkeys #diehard https://t.co/MQnRX55dtT"
24,Babe,@hellabagel you’re too sweet babe 😘 ily
25,Babe,And mommy wants to sleep babe 😴. https://t.co/YW9WO4V0p8
26,Babe,@TylerKTwink Always babe 😁
27,Babe,@OhSetsuna So proud of you babe 💖💖💖💖💖🔥
28,Babe,"atsusunakomo
i'll find a way to be without you, babe"
29,DeadManWalking,"Just one of the MANY reasons why Australians DETEST you.
#VomitWorthy
#LiarFromTheShire
#DeadManWalking
#IDontThinkIKnow https://t.co/uUi3EWX24b"
30,DeadManWalking,"[Bell Gong 20 Times] [Thunder Strikes 10 Times] [Fire Burns] ""Deadman Walking."" -@undertaker (Online) #DeadmanWalking"
31,DeadManWalking,"#DeadManWalking  @ScottMorrisonMP &gt; #ICAC 

""A Lying cunt with a limited future."" https://t.co/Mp0pn2bYMV"
32,DeadManWalking,"@InsidersABC Wow.

Once such a respected show.

Now just this.

I think you meant #DeadManWalking.

#LetsSackScotty"
33,DeadManWalking,"Jelly Roll   Dead Man Walking Official Music Video 1 https://t.co/0ZsFn69pvB via @YouTube 
@JellyRoll615   Absolutely love this, love my Jelly Roll, if you haven't heard this, listen, you'll thank me, you're welcome!
#DeadManWalking #LoveMyJellyRoll #SuwanneeeMusicFest"
34,RichardIII,@zpao @jlongster @ken_wheeler You can also put protections on iOS with a password https://t.co/IcT0rqJHkm
35,RichardIII,@aweary I saw gold and white and now see blue/black. Crazy.
36,RichardIII,Not ready for the weekend to end
37,RichardIII,"@mileswjohnson @AdamRackis Personally nothing against yarn, myself. Still use it. npm goes a lot farther than it used to and I think reaching for other tooling is something I’d do less often."
38,RichardIII,"@mileswjohnson @richardiii I’m not “stuck” on anything for my side projects. But with npm as sleek as it is these days, and with all the breakage I’ve read about with Yarn 2+, I’ve no inclination to even touch that shit."
39,Seven,@Happyworlds17 It’s not I’d rather lose in six. I’d rather lose in seven. But a losss in 7 would also hurt more because I’d have too much hope thinking we’d win. If that makes sense.
40,Seven,@BunnyHairBoi @PosssedZuZu39 @Orbital_Seven @lunalightfeet See? Look we need to find someone who can fulfill the role of a catboy. Any takers? https://t.co/tQyddLNaK5
41,Seven,@CelticsRiley You wouldn’t beat Miami in a seven game series so it doesn’t matter who you play in the first round.
42,Seven,"@ImmaculateHusk Bradley had spent an entire week in her hotel room, only leaving for work and then returning. And she had done so alone. Seven fucking days on her own. So the moment Alex touched her cheek… God. She had missed that so much. She needed it. —"
43,Seven,", after a second to miss, just about four minutes and saw five or six hours seven heart like water, letter of recommendation for post above, Yang live there, in the world to nashan pavilion I love you!"
44,FrenchTwist,"Say you really want to see a movie about a ""cuckold"" [I hate that phrase btw] done right, I highly recommend the French film #GazonMaudit/ #FrenchTwist. This movie is amazing (it's written and directed by a woman! And not stuck on a male point of view)

#DeepWater https://t.co/5820YChsTA"
45,FrenchTwist,"📷 spectrumvivace: frenchtwist: Woman with Dove,  Release https://t.co/ICPeMEE2UE"
46,FromDuskTillDawn,"Desbloqueei o badge ""I've always wanted to work with los hermanos Geckos #FromDuskTillDawn"" #bancodeseries https://t.co/Gfhdvue8WB https://t.co/McVejTlHI1"
47,FromDuskTillDawn,"What else is there to do on a weekend but enjoy a scary good #vampire movie
Grab this cute little vampires movie book for only £2.99 along with a scarily good horror movie
#vampire #Dracula #LostBoys #InterviewWithTheVampire #FromDuskTillDawn #Lifeforce #hammerhorror #movies https://t.co/ZfK2SEEAES"
48,FromDuskTillDawn,I started watching #FromDuskTillDawn for the first time and I couldn’t go through with it. Male gaze much? Fucking disgusting https://t.co/KDDxreCKnv
49,FromDuskTillDawn,I THOUGHT ROBERTO LOOKED FAMILIAR oh my god i didn’t realize we were getting a #FromDuskTillDawn reunion in this movie! 😭😭😭 @eizamusica @Jesse2theG #Ambulance https://t.co/qwils93gVJ
50,FromDuskTillDawn,"Desbloqueei o badge ""I've always wanted to work with los hermanos Geckos #FromDuskTillDawn"" #bancodeseries https://t.co/5FZcY2CD5V https://t.co/AP5ZagsQVk"
51,MuppetTreasureIsland,"#MuppetTreasureIsland is the best pirate movie ever, don't bother arguing with me"
52,MuppetTreasureIsland,"Same piratey vibe.

#pirates #ourflagmeansdeath #muppettreasureisland #professionalpirates https://t.co/KFiXeLsyut"
53,MuppetTreasureIsland,I’ve only watched the first 30 seconds but already #OurFlagMeansDeath has #muppettreasureisland energy and honestly that’s the best compliment anyone can ever get
54,Braveheart,@pallenp1 Oh I do love Braveheart - it's a rip roaring epic that!
55,Braveheart,"What this tells me is someone else (like a Master or a Magician) has to make the KeyCHAINS that bring out a Keryblade's power, a Wielder cannot just manifest or repair them on their own

ie, Riku's broken Way to the Dawn before Yen Sid provided him with Braveheart. https://t.co/NivZP6x0ur"
56,Braveheart,@BeanBobu I love you dev! @Octo_os @reinyredja @bertugturkoz @goldcardnft @webkws @Preciou88400282 @DagoNFT @Crypto_Jozsy @HuitNeufDix @GCHollandSing @CrptMars @jaa_buu @DegenCap @promethearise @SantekEma @Braveheart_026 @binbinjs
57,Braveheart,@PeckerGoVroommm @L4PatNadeau @RyeAndJoke @CanadiensEh What's with the Braveheart war paint lil pecker is rocking?
58,Braveheart,@CountDankulaTV Wasn't this guy in Braveheart?
59,TaxiDriver,What if I told you John Hinckley Jr. also went to this high school? #taxidriver https://t.co/lPhCAbXHed
60,TaxiDriver,Rooting for #TheRedSleeve and #TaxiDriver #58thBaeksangArtsAwards
61,TaxiDriver,"@Rosa_taxidriver @culinadge @xceejaysk @MichaelBreshea3 @lawless08 This society is still not ready to validate sexual assault or white male misogyny. It should, but it doesn’t. So yes, those actors should have been reprimanded but any person who slapped another on the stage would probably be vilified for a short amount of time."
62,TaxiDriver,@TheJohnJohnShow Xmen… and how bad the new class is/was
63,TaxiDriver,@theONLYYaYah @chinkeeize @lawless08 2 weeks later and she still stuck on his acceptance speech 😂
64,RumbleintheBronx,"Happy 68th Birthday to Legendary Martial Artist, Actor, Stuntman and Filmmaker Extraordinaire #JackieChan!! 🤜👊 #RumbleInTheBronx https://t.co/gHXDz0JMBY"
65,RumbleintheBronx,"Similar movies with #ComeDrinkWithMe (1966):

#RumbleInTheBronx
#Hackers
#TheGetaway

More 📽: https://t.co/v0HEhluvbZ

#CinPick #similarMovies #movies #whatToWatch #watchTonight https://t.co/i1z1r2GKG4"
66,RumbleintheBronx,"@hbomax what we need Back!

Movies:
#Goonies
#DemolitionMan
#EntertheDragon
#MadMaxBeyondThunderDome
#RumbleInTheBronx
#FreeWilly

Shows:
#Freakazoid
#GeneratorRex"
67,BadBoys,"I know this man did not spend 20k on his body, and it looks like that? Oh girl you need to get all of your money back #BadBoys #Zeus"
68,BadBoys,I know Kirk Franklin is like 🤬 #BadBoys
69,BadBoys,"Moolah is homophobic at this point or the editing is against him lmbo bc I saw William shaking his butt, but I did not see him bent over twerking on Moolah 🙄 he irky #BadBoys #badboysLA"
70,BadBoys,joseline playing wit the reunion.. guess we finna watch badboys la
71,BadBoys,@JaiJanoskians Huge drop! @taylortetseo @machaushri @hurricane068 @SkullNFTart @OutmaneNahid @iskubarrerro @nftfame @gutovvm4 @ChrisB73820740 @arif_sihabuddin @Taylor_Cook_00 @MabelSze @KevinHobgen @WheelGreat @badboys_77 @ColourBlob @Bdawg741
72,Apollo13,@StevenDaGuy - Trill [ https://t.co/RLoE9yo3dq ] #Apollo13
73,Apollo13,"April 11, 1970 - The final crew of #Apollo13 - Fred Haise, Jim Lovell and Jack Swigert - enjoy a pre-launch breakfast of steak and eggs on the morning of their historic launch.

https://t.co/k0GP6k66y9 https://t.co/L5JIgfSQyH"
74,Apollo13,"April 11, 1970 - #Apollo13 was launched from Cape Kennedy at 2:13 pm. An oxygen tank exploded in the service module. Astronaut John L. Swigert saw a warning light that accompanied the bang and said, ""Houston, we've had a problem here.""
https://t.co/k0GP6k66y9 https://t.co/k8b05GRLxS"
75,Apollo13,"April 11, 1970 - Two youngsters have their attention divided between the Yankees-Indians game and the TV image from Kennedy Space Center of the #Apollo13  launch.

https://t.co/k0GP6k66y9
https://t.co/7JAYAsAx7A https://t.co/g3BD5QDFAQ"
76,Apollo13,"Crew of the #Apollo13 on their way to the launch pad at Kennedy Space Center in Cape Kennedy on April 11, 1970. 

https://t.co/k0GP6k66y9
https://t.co/7JAYAsAx7A https://t.co/FmdtQXeU2E"
77,BatmanForever,"Every day i get to watch my favorite movie ever is the best day ever 😊 
#Batman #BatmanForever #FavoriteMovieEver https://t.co/KcyD6jlFln"
78,BatmanForever,"Marlon Wayans Wasn't In 'Batman Forever,' But He Still Gets Paid For It! Chris O'Donnell ended up playing Robin in #BatmanForever , but since #MarlonWayans was signed on first he got $100k and STILL gets paid residuals. 🦇
Click here for more 👉 https://t.co/SQIwUFcpmk"
79,BatmanForever,"MY BOY!
#edwardnygma #theriddler #batmanforever https://t.co/aM1uPwsr4R"
80,BatmanForever,"Sometimes, I still dream about the delicious “Super Hero Burger” from #McDonalds during the summer of 1995 🤩🤤🍔🦇 #Batman #BatmanForever https://t.co/Iw2SKhkvxW"
81,BatmanForever,"I just rewatched #BatmanForever after literal years and quite frankly, I never found it bad back then and even now, I still can't find anything cringy about it. But that's probably because I love Jim Carrey's and Tommy Lee Jones' performances; even more now actually"
82,Belledejour,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @DarkVampryss #poshmark #fashion #style #shopmycloset #anchoredinyourfaith #belledejour #stylens: https://t.co/e1LmjI7pRO https://t.co/Eez8ntfgkj
83,Belledejour,@la_belledejour_ emille.
84,Belledejour,"Now am feeling confident counting chips and flirting en français 😉 

Learn a language with me for free! Duolingo is fun, and proven to work. Here’s my invite link: https://t.co/DmN3ep37bj https://t.co/T4n9tiT5KH"
85,Belledejour,Lobisone
86,Belledejour,@a_belledejour @rumcompassas Justo
87,CrimsonTide,"Monster stats are still in the process of being calculated, courtesy of Crimsontide (they're better at Pokémon math than I am). All of the Gen 1 monsters and their evolutions and regional variants are filled out. We'll run some test battles and see how they fare.

Stay tuned!"
88,CrimsonTide,"Progress is being made on my Pokémon tabletop campaign endeavor! I have a first draft of all the attacks and abilities written out. I'll go over them again with Crimsontide to fine-tune them. I also need to make items, their effects and values, then make a one-shot to playtest."
89,CrimsonTide,Amazing opportunity to visit the best CFB program in history. @AlabamaFTBL #ROLLTIDE #CrimsonTide @mfarrellsports @Spotlight39_Pod @boulder913 @YoureNextTrain1 @Waltjr2222 @CoachPerdomo @MrCoachFrate @HighSchoolBlitz @LeighJudy @CoachJoeCox https://t.co/a5ECEATNY9
90,CrimsonTide,Eli Ricks outlines several lofty goals for this season at Alabama - https://t.co/nBl2jc7W60 🅰️🏈 #CrimsonTide
91,CrimsonTide,"Alabama football offense 'spotty' in scrimmage, and we'll see those spots in A-Day Game | Goodbread https://t.co/9ItHvwcGhj via @tidesports 🅰️🏈 #CrimsonTide"
92,Crumb,@CoreKittyBayBay Word.
93,Crumb,"@DCFresh23 It's a baseball game/show.  Being a DJ just doesn't fit in, and talking about his friend winning the Masters today doesn't either.  Having ARod and Kay in the left corner of my TV screen is annoying."
94,Crumb,@chonixwildmoore like half of a half of a crumb😭
95,Crumb,@javajuicedraws Literally yeah. I refuse to buy any merch shipped by them now lmao. But crumb's merch drops have always been amazing
96,Crumb,i had 0 ass 2 years ago &amp; now i have a crumb of ass but none of my pants fit anymore so i think i don’t care about having ass anymore.
97,Desperado,DESPERADO ohhh girl this my song https://t.co/Bbv8I2uTse
98,Desperado,@Araclast @lordvictor Is it a open chat? Sounds like my sort of liking
99,Desperado,"Also, I demand a Ryu Lee feud with Desperado where Despy just taunts him for essentially taking over his career in Japan (Jr title, Hiromu’s top rival). #njpw"
100,Desperado,@Seb_silverfox @crucifox I wish I could get to that stage. My fig bonsai just looks like a shrub right now
101,Desperado,"Match #7 SEMIFINAL: IWGP Jr Heavyweight Championship match, El Desperado (C) vs SHO #HyperBattle"
102,MadLove,"If you ever wanted to know how much God loves you, I invite you to check out my latest book: https://t.co/QKwmkIxsrT #Madlove #Godslove #Christianity"
103,MadLove,👠#NowPlaying @iamjojo &gt;&gt; #High #Heels. - Track10 #on #the #MadLove. ((#Deluxe)) #Album - #RnBmusic #Soul #Pop #HipHop #Rock - #TeamJoJo👠 https://t.co/M6ijR10kPG
104,MadLove,"@SRNordic @madlove_love @socialdemokrat @ExtinctionR_SV @ScientistRebel1 Giving up Fossil-fuels🔚
would be a sacrifice, if it isn't the freedom. #SoilHealth 
#MentalHealthAwareness"
105,MadLove,@Yotam85169852 @Madlove_SA @Thuso1Africa Read the tweet wena....
106,MadLove,"""the volume of renewable output has proved too much for local regions to consume"" https://t.co/xS6PZOxh9Q"
107,Nadja,I want to be nadja wwdits for halloween all I need is a back wig and fangs
108,Nadja,That scene of the Nadja doll swinging that sword at Nandor has me spiraling it is so funny
109,Nadja,@w_ext Legit page!! @j79327749 @ehsan98253345 @WiseboyNation @verojaramillo83 @akol_jeffrey @NFT_Transhuman @0xAikione @K45598200 @CojanBiancaa @BlackShell16 @Lucretious4 @MasumaIsrat @nadja_timea @Vicente62490692 @MdNazmu35544362 @shibadogesoul @omoiyaolobi001
110,Nadja,"NADJA: I hate to say this, but it's an emergency, so I'm going to say it. Let's eat Guillermo.

NANDOR: Nadja is right. It's the only way. Guillermo? Guillermo, come over here and put your neck in my mouth.

GUILLERMO: No, you have to get up and do it, ‘cause I can't get up."
111,Nadja,"@storiesin_howls @MoveMePoetry Love the message, that there's always a way...cool write, Nadja..."
112,StrangeDays,@dr_strangedays @djwfll @libraltexan @kylenabecker @JimRosenthal4 Stop confusing him with actual facts 🤣
113,StrangeDays,"@BrettJohn17 @Daniel80659351 @Keggs719 @JimRosenthal4 I don't blame regular people who have been fed misleading info, but there's no excuse for scientists, doctors, etc."
114,StrangeDays,"@dr_strangedays @Daniel80659351 @Keggs719 @JimRosenthal4 It's really stunning at this point how many still believe that masks have done anything. It just goes to show how people will believe anything if enough ""experts"" repeat something over and over again."
115,StrangeDays,"@djwfll @libraltexan @kylenabecker @JimRosenthal4 And masks will have nothing to do with it.

Do you have a sign in front of your house that you believe in science? Well, here's the science. https://t.co/X3W53nYKll"
116,StrangeDays,"@BrettJohn17 @Daniel80659351 @Keggs719 @JimRosenthal4 They ignore me every time I ask as well. And most of all, they have this. https://t.co/gmtRUsF39z"
117,BillyMadison,"Arm &amp; chair detailing tonight, as well as some cleanup around Billy's shorts -- more depth &amp; detail work tomorrow night 🌙🚀

""Billy""

(WiP IV)

#billymadison | #adamsandler | #artcommission |  #artistsoninstagram https://t.co/IBgxuxbyRS"
118,BillyMadison,"Moving along nicely on this commission piece, working through Billy's right leg &amp; shorts -- more shorts detail work tomorrow night 🌙🚀

""Billy""

(WiP III)

#billymadison | #adamsandler | #artcommission |  #artistsoninstagram https://t.co/maytbpN7hI"
119,BillyMadison,@neilbelieves Yep...'95 was a pretty good year. Classic from #HEAT to #DevilinaBlueDress...from #TommyBoy to #MajorPayne and #BillyMadison
120,BillyMadison,"Boot detailing tonight on Billy as well as some layering on the right leg -- more detail work tomorrow night 🌙🚀

""Billy""

(WiP II)

#billymadison | #adamsandler | #artcommission |  #artistsoninstagram https://t.co/gjTNQXMLpD"
121,BillyMadison,Rational Thought https://t.co/9PlbAXQK6B #BillyMadison #AdamSandler #JamesDowney #nopoints #insane #incoherent #rational #dumber #90smovie #link
122,Clerks,The clerks at my gym see me bring different guy for a day pass all the time 😭😭😂😂😂
123,Clerks,Clerks have secretly boiled you.
124,Clerks,Bitchass liquor store clerks https://t.co/US5VfaxXDx
125,Clerks,@TheEMart Why do i feel like this guy is talking like the gum salesman from Clerks
126,Clerks,"@ThatKevinSmith @BrigsbyBear @kylemooney @ThatKevinSmith umm YOURS HAHA Clerks &amp; Dogma to be specific. But you already know that haha. So good news, my Immunethopy seems to be working pretty well, well I'm feeling better at least. We will know exactly how well it is or isnt working with a full set of scans coming up."
127,Disclosure,"@jemrudolph Full disclosure, I was excited because I booked 2 sessions this month. Full time availability does not mean we are working all the time. A lot of the image of ""success"" is a projection from the viewer onto the viewed."
128,Disclosure,"The Pentagon, just declassified UFO documents and UFO videos.
▸https://t.co/3IWXYRm4Y6
See video: THE GREAT AWAKENING HAS BEGUN – UFO DISCLOSURE FROM THE PENTAGON (Hidden Agendas Explained)

#LawOfAttraction https://t.co/ugu6YxyAfc"
129,Disclosure,"@murpharoo This is further proof that the LNP don't have a ""woman problem""

Pay one enough and write a secure non disclosure, she keeps quiet during the campaign, no problem"
130,Disclosure,First screenshot is patent disclosure from Q3 2021 filing and second screenshot is Q4 2021 filing $cybl 🤦🏽‍♀️ https://t.co/0wWHVCA4av
131,Disclosure,"@schibs_m @Popeye43789260 @A2Lintra @LL_BSN_RN @CAKitchener It forces disclosure in a manner that not only has possible statutory violations like misuse or abuse of a controlled substance, it also leads to the “conspiracy” of securing it. You’re finally getting it, thank god"
132,DoloresClaiborne,@neilbelieves I agree that 1995 was a strong year for films. So many great one’s that year. #BoysOnTheSide #DoloresClaiborne #12Monkeys #StrangeDays #WaitingToExhale #Clueless #MadLove #ToDieFor #Heat #ToWongFoo #Friday #Casino #TommyBoy #SenseAndSensibility #Goldeneye #WhileYouWereSleeping ❤️ https://t.co/MaLTKDbQJ2
133,DoloresClaiborne,"#PICTIONMOVIE PICTURE REVEALED: Great job if you said, #doloresclaiborne

Release: Mar 24, 1995 
Director: Taylor Hackford
Starring: Kathy Bates; Jennifer Jason Leigh; David Strathairn; Judy Parfitt; John C. Reilly; Eric Bogosian; Christopher Plummer
Music by: Danny Elfman https://t.co/CxAWqMEtWZ"
134,DoloresClaiborne,"Unpopular opinion? I think Kathy Bates more amazing in Dolores Claiborne than she was in Misery. I think having Joe, Selena and especially Vera to play off of really let her shine! #KathyBates #DoloresClaiborne #Misery #IMadeUpTheseHashtags"
135,DoloresClaiborne,Now watching #DoloresClaiborne for the first time in years. https://t.co/q1WUA6dxXc
136,EatDrinkManWoman,Eat Drink Man Woman | BehaveNet https://t.co/d6lpOpnyXs #EatDrinkManWoman
137,EatDrinkManWoman,Eat Drink Man Woman | BehaveNet https://t.co/5qQXJrVra1 #EatDrinkManWoman
138,Exotica,"Ambrose Campbell - Yolanda [Nigeria, Exotica-Highlife] 1966
https://t.co/wWwacIxSEY
https://t.co/m53Hb4wZRj"
139,Exotica,"Pac-Land by Avenger (1989)

https://t.co/iLqJME1ORF https://t.co/DlfErKVRd1"
140,Exotica,That plastic filled mess creamy exotica would get every particle of semen I have inside of my testicles
141,Exotica,"Martin Denny (April 10, 1911 – March 2, 2005) was the ""father of exotica"" who popularized lounge music of percussion, rearrangements of popular songs, and original songs that celebrated Tiki culture. 
https://t.co/b3RIwgeiqr
MUSIC: https://t.co/yblAy0tiSo https://t.co/coNIl2urqJ"
142,Exotica,"Chuck Rock II: Son Of Chuck +14 by Flashtro

https://t.co/qpCbY9WNPx https://t.co/CgZnP4JZ7S"
143,EdWood,@peddlerreed @DerekStallwood @edwood_not @scrowder Questioning and challenging the views adopted and pushed onto those students is exactly what healthy debate is. You just don't have your story figured out yet so it upsets you
144,EdWood,@edwood_not @scrowder It forces people to back up their point of view with facts. And he needs security because the crazy liberals are prone to violence when people disagree with them.
145,EdWood,@edwood_not @scrowder You see an invitation as a demand?
146,EdWood,"@DerekStallwood @edwood_not @scrowder Ikr? The opening line: ""...the series where we rationalize our positions on controversial topics"". Anyone who says this clearly hasn't made it past the title."
147,EdWood,"@MikeFullingto10 @TalkHogan @edwood_not @benshapiro No, science gives ""a"" answer, but there is another. It depends on what question is being asked.

https://t.co/ZcxLjjcahZ"
148,HoopDreams,"June 11th, it's going to be EPIC! The Greatest #FREEBASKETBALLSHOWCASE #thebigshowcaseforsmallschools takes place in #NORTHEASTOHIO 72 young men with #hoopdreams #CHASINGSCHOLARSHIPS @BehindDaBallers @ClubhouseHoops @TweetsbyCoachP @chibbs_1 @SmushParker21 @iam_mr_miyagi &amp; more https://t.co/EI7tjxXMG6"
149,HoopDreams,less than 10mins away from the @TweetsbyCoachP @CoachHixonDimes #Twitter spaces for 2023s #highschoolbasketball players #CHASINGSCHOLARSHIPS with #hoopdreams I'll be TUNED IN  giving away a spot for the 4th Annual #FREEBASKETBALLSHOWCASE June 11th in OH #kennyandersonshowcase 🙏🏻
150,HoopDreams,I really enjoyed the game @HoopDreams_FL put on against @FGBvsEveryone Congrats to all the ladies who competed this weekend!  Shoutout to my homie @AceSturdivant10 @Pwer2dappl @PGHFlorida @BrandonPGHFL @Biggamebobby @SUTSReport #SSS2022 https://t.co/5uzji6yd7c
151,HoopDreams,"#HoopDreams The #Podcast has something special cookin’ 👨‍🍳 
stay tuned… listen and subscribe.
-
@1SpencerGarrett @winningtimehbo @hbomax 
-
Hosted by @hoop22dreams &amp; @tusshoopdreams on @UNLNetwork 
-
@BrickhouseVent1 @Lakers
-
#winningtime #originstory #oghoopdreams #unlearning https://t.co/b8JN4Dr36F"
152,HoopDreams,"What a weekend 🔥‼️ Was BLESSED to be able to help run the @ZeroGravityXL event at @thetrackatnb . So many talented young ballers, so many college coaches and great basketball people. Cheers 🏀🏀 #HoopDreams"
153,I.Q.,"4,944 na followings ko shuta I think need q some linis ha"
154,I.Q.,"I just got result 'june' on quiz 'What Month Matches Your Personality?'. https://t.co/76Ocy93xLq vía @uquiz 
q chistoso ya soy d junio"
155,I.Q.,@JaiJanoskians I love this drop! @ManukNune @AICPortraiture @ghiblicrypto @BasherBoy29 @ShiroPz @Bastidores_Q @CryptoInferno2 @rouvencaleon @chr509740634 @CryptoGoombas @NicRicBic @Sumaree66841667 @lporta97 @godaddydave @MonkeeRench @Sirdified @CantelopePeel
156,I.Q.,@drewdjv And 4th Q is coming. They get paid to play and healthy if they want to play they can play I think
157,I.Q.,"@TimKennedyMMA I love question and answers🥰
Q- What do you call an armed force that killed 5 million Nazi soldiers and took another 4.5 million Nazi soldiers as prisoners of war?
A- The Red Army https://t.co/IUQmHn593c"
158,StarWars,"Read more about Fabian Nicieza, a Comprehensive Article nominated by user Manoof, on Wookieepedia, the Star Wars Wiki! This article was nominated as part of WookieeProject: Creators

Follow this account and @WookOfficial for more updates on all things #StarWars!"
159,StarWars,@oakskywalker02 @starwars I hope her character gets hit by Mando's amban rifle. Why? because it creates an excruciatingly painful death
160,StarWars,Luke Skywalker by LoonaLucy https://t.co/dI7NspnqGs Gorgeous #StarWars Art #SkywalkerSunday #LukeSkywalker
161,StarWars,@GuyBarrette @DrewStruzan @starwars @GalacticGallery And tying this all together: Star Wars celebrating its 10 year anniversary was the reason Kevin Feige had Marvel Studios celebrate their 10 year anniversary in 2018! https://t.co/909Rz81CXa
162,StarWars,"@passionapk @StarWarsExplain @starwars The Phantom Menace because
The first prequel Star Wars movie has a lot of the same issues as Attack of the Clones, especially in the CGI department."
163,LegendsoftheFall,"Same to you, #SongJoongKi 🤗 I also like #LegendsOfTheFall and #BradPitt very much! 🥰 https://t.co/BpdF7EYRNw"
164,LegendsoftheFall,🃏 Jokers only over Kings in a Spades games ♠️ #stbasil #gxmg #ncaa #legendsofthefall https://t.co/A1CNhfRPge
165,LegendsoftheFall,"Feelin' like Tristan Ludlow in #LegendsOfTheFall....The ranch  (our home paternal side, in the country side )🇳🇬🌴🌳Rollin down the street nuthin but green, eyes on my enemies 👁 'Tristan returns during Prohibition, bringing life back to the ranch and his father. ..... https://t.co/0GBc5CkGNo"
166,NaturalBornKillers,"Today I finished #NaturalBornKillers at #HBOMax 
Film really delivered and I got to see actor #WoodyHarrelson (recently in #Venom2 ) ^^"
167,NaturalBornKillers,"Well
I really like this movie
But what the ??
#NaturalBornKillers https://t.co/vESRLpxFny"
168,NaturalBornKillers,"Even though it’s terribly 90s and definitely a film students film, I still quite enjoyed #NaturalBornKillers as part of @1K1FilmsB450 - but it is absolutely fucking batshit, and nowhere near as good as Platoon."
169,NaturalBornKillers,"@sajidjavid says sale of Channel 4 will set it ‘free’
#SajidJavidIsALiar
It's an INDISPUTABLE FACT that @BorisJohnson &amp; every member of his @Conservatives
govt are #corrupt, #NaturalBornLiars &amp; #NaturalBornKillers
  https://t.co/MtXd4jmiIM https://t.co/Ij241UHIZ7"
170,NaturalBornKillers,One of the Best #NaturalBornKillers https://t.co/cLgr65RMbl
