,title,tag,sentiment_score
168,101 Dalmatians (1996),101Dalmatians,0.3719599999999999
169,Die Hard 2 (1990),DieHard2,0.1194399999999999
170,Star Trek VI: The Undiscovered Country (1991),StarTrekVI:TheUndiscoveredCountry,0.07264
171,Star Trek: The Wrath of Khan (1982),StarTrek:TheWrathofKhan,0.5696749999999999
172,Star Trek III: The Search for Spock (1984),StarTrekIII:TheSearchforSpock,0.0
173,Star Trek IV: The Voyage Home (1986),StarTrekIV:TheVoyageHome,-0.1706
174,Batman Returns (1992),BatmanReturns,0.48594
175,Young Guns (1988),YoungGuns,0.5067999999999999
176,Under Siege (1992),UnderSiege,-0.14212
177,Jaws (1975),Jaws,0.38188
178,Mars Attacks! (1996),MarsAttacks!,0.1672
179,Citizen Ruth (1996),CitizenRuth,0.0
180,Jerry Maguire (1996),JerryMaguire,0.37904
181,Raising Arizona (1987),RaisingArizona,0.0863
182,Sneakers (1992),Sneakers,0.2307999999999999
183,Beavis and Butt-head Do America (1996),BeavisandButt-headDoAmerica,0.0
184,Kolya (1996),Kolya,-0.19158
185,Jungle2Jungle (1997),Jungle2Jungle,0.277925
186,Smilla's Sense of Snow (1997),Smilla'sSenseofSnow,0.0
187,Chasing Amy (1997),ChasingAmy,0.10024
188,Turbo: A Power Rangers Movie (1997),Turbo:APowerRangersMovie,0.0
189,Grosse Pointe Blank (1997),GrossePointeBlank,0.31436
190,Austin Powers: International Man of Mystery (1997),AustinPowers:InternationalManofMystery,0.0
191,Shall We Dance? (1996),ShallWeDance?,0.4019
192,Batman & Robin (1997),Batman&Robin,0.42934
193,My Best Friend's Wedding (1997),MyBestFriend'sWedding,0.8126
194,When the Cats Away (Chacun cherche son chat) (1996),WhentheCatsAway,-0.6597
195,Men in Black (1997),MeninBlack,-0.1092199999999999
196,Contact (1997),Contact,0.0252599999999999
197,George of the Jungle (1997),GeorgeoftheJungle,0.26188
198,Event Horizon (1997),EventHorizon,0.3317199999999999
199,Air Bud (1997),AirBud,0.18546
200,In the Company of Men (1997),IntheCompanyofMen,0.0
201,Steel (1997),Steel,-0.03082
202,Mimic (1997),Mimic,-0.1194999999999999
203,Kull the Conqueror (1997),KulltheConqueror,0.0
204,unknown,unknown,-0.10284
205,Chasing Amy (1997),ChasingAmy,0.10024
206,Gattaca (1997),Gattaca,0.33848
207,Starship Troopers (1997),StarshipTroopers,-0.05406
208,Good Will Hunting (1997),GoodWillHunting,0.4782
209,Heat (1995),Heat,0.1791599999999999
210,Sabrina (1995),Sabrina,0.19548
211,Sense and Sensibility (1995),SenseandSensibility,0.3818749999999999
212,Leaving Las Vegas (1995),LeavingLasVegas,0.31376
213,Restoration (1995),Restoration,0.0
214,Bed of Roses (1996),BedofRoses,0.3431666666666667
215,Once Upon a Time... When We Were Colored (1995),OnceUponaTime...WhenWeWereColored,0.0
216,Up Close and Personal (1996),UpCloseandPersonal,0.61976
217,Emma (1996),Emma,0.0404199999999999
218,Tin Cup (1996),TinCup,0.27492
219,Secrets & Lies (1996),Secrets&Lies,-0.1964
220,Marvin's Room (1996),Marvin'sRoom,0.0
221,Scream (1996),Scream,-0.0763799999999999
222,Evita (1996),Evita,0.12982
223,Fierce Creatures (1997),FierceCreatures,0.0
224,Absolute Power (1997),AbsolutePower,0.14366
225,Rosewood (1997),Rosewood,0.298
226,Donnie Brasco (1997),DonnieBrasco,0.0843
227,Liar Liar (1997),LiarLiar,0.06708
228,Breakdown (1997),Breakdown,0.1516199999999999
229,"Promesse, La (1996)",PromesseLa,0.0
230,Ulee's Gold (1997),Ulee'sGold,0.0
231,Face/Off (1997),Face/Off,0.5516
232,Hoodlum (1997),Hoodlum,0.07114
233,Air Force One (1997),AirForceOne,-0.125975
234,In & Out (1997),In&Out,0.1657799999999999
235,L.A. Confidential (1997),L.A.Confidential,0.6355000000000001
236,Ulee's Gold (1997),Ulee'sGold,0.0
237,Fly Away Home (1996),FlyAwayHome,0.0
238,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Mrs.Brown,0.03144
239,FairyTale: A True Story (1997),FairyTale:ATrueStory,0.0
240,Deceiver (1997),Deceiver,0.37594
241,Midnight in the Garden of Good and Evil (1997),MidnightintheGardenofGoodandEvil,0.3396666666666667
242,Titanic (1997),Titanic,0.16796
243,3 Ninjas: High Noon At Mega Mountain (1998),3Ninjas:HighNoonAtMegaMountain,0.0
244,Apt Pupil (1998),AptPupil,-0.078925
245,As Good As It Gets (1997),AsGoodAsItGets,0.37528
246,In the Name of the Father (1993),IntheNameoftheFather,0.0
247,Schindler's List (1993),Schindler'sList,0.73045
248,Everyone Says I Love You (1996),EveryoneSaysILoveYou,0.6369
249,Paradise Lost: The Child Murders at Robin Hood Hills (1996),ParadiseLost:TheChildMurdersatRobinHoodHills,0.0
250,Mother (1996),Mother,-0.0272999999999999
251,Murder at 1600 (1997),Murderat1600,0.0
252,Dante's Peak (1997),Dante'sPeak,0.33946
253,Lost Highway (1997),LostHighway,0.52356
254,Crash (1996),Crash,-0.5201800000000001
255,G.I. Jane (1997),G.I.Jane,0.40878
256,Cop Land (1997),CopLand,0.3989
257,Conspiracy Theory (1997),ConspiracyTheory,-0.3144
258,Desperate Measures (1998),DesperateMeasures,0.31238
259,187 (1997),187,-0.15264
260,Kiss the Girls (1997),KisstheGirls,0.0
261,U Turn (1997),UTurn,0.14706
262,How to Be a Player (1997),HowtoBeaPlayer,0.7155
263,Playing God (1997),PlayingGod,0.2341999999999999
264,Bean (1997),Bean,0.03022
265,Mad City (1997),MadCity,0.30226
266,Boogie Nights (1997),BoogieNights,0.4417399999999999
267,Critical Care (1997),CriticalCare,0.64174
268,Alien: Resurrection (1997),Alien:Resurrection,0.0272799999999999
269,Deconstructing Harry (1997),DeconstructingHarry,0.0
270,Jackie Brown (1997),JackieBrown,0.17984
271,Wag the Dog (1997),WagtheDog,-0.24678
272,Desperate Measures (1998),DesperateMeasures,0.31238
273,Hard Rain (1998),HardRain,0.0
274,Fallen (1998),Fallen,-0.5466
275,Spice World (1997),SpiceWorld,0.31424
276,Deep Rising (1998),DeepRising,-0.1366
277,Sphere (1998),Sphere,0.41088
278,One Flew Over the Cuckoo's Nest (1975),OneFlewOvertheCuckoo'sNest,0.0
279,Spawn (1997),Spawn,0.01476
280,Wonderland (1997),Wonderland,0.59288
281,Incognito (1997),Incognito,0.339
282,Blues Brothers 2000 (1998),BluesBrothers2000,-0.34
283,Sudden Death (1995),SuddenDeath,0.16686
284,Ace Ventura: When Nature Calls (1995),AceVentura:WhenNatureCalls,0.0
285,Powder (1995),Powder,0.02296
286,Dangerous Minds (1995),DangerousMinds,0.09846
287,Clueless (1995),Clueless,-0.30044
288,Bio-Dome (1996),Bio-Dome,0.1770999999999999
289,Black Sheep (1996),BlackSheep,0.1486
290,Mary Reilly (1996),MaryReilly,0.5953
291,Jeffrey (1995),Jeffrey,0.18234
292,Judge Dredd (1995),JudgeDredd,0.19816
293,Mighty Morphin Power Rangers: The Movie (1995),MightyMorphinPowerRangers:TheMovie,0.0
294,Showgirls (1995),Showgirls,0.33504
295,Houseguest (1994),Houseguest,0.46036
296,Heavyweights (1994),Heavyweights,0.54496
297,Miracle on 34th Street (1994),Miracleon34thStreet,0.7755
298,Tales From the Crypt Presents: Demon Knight (1995),TalesFromtheCryptPresents:DemonKnight,0.0
299,Star Trek: Generations (1994),StarTrek:Generations,0.34744
300,Muriel's Wedding (1994),Muriel'sWedding,0.0
301,Naked Gun 33 1/3: The Final Insult (1994),NakedGun331/3:TheFinalInsult,0.0
302,True Lies (1994),TrueLies,0.04612
303,Addams Family Values (1993),AddamsFamilyValues,0.0852199999999999
304,Beverly Hills Cop III (1994),BeverlyHillsCopIII,0.0565499999999999
305,Black Beauty (1994),BlackBeauty,0.22342
306,Fear of a Black Hat (1993),FearofaBlackHat,0.0
307,Last Action Hero (1993),LastActionHero,0.60386
308,Mrs. Doubtfire (1993),Mrs.Doubtfire,0.3247799999999999
309,Radioland Murders (1994),RadiolandMurders,0.0
310,Robin Hood: Men in Tights (1993),RobinHood:MeninTights,-0.2027
311,Serial Mom (1994),SerialMom,-0.05186
312,Striking Distance (1993),StrikingDistance,-0.1064799999999999
313,Super Mario Bros. (1993),SuperMarioBros.,-0.036775
314,Ghost (1990),Ghost,-0.21494
315,Batman (1989),Batman,0.17882
316,Pinocchio (1940),Pinocchio,0.1202599999999999
317,Mission: Impossible (1996),Mission:Impossible,0.4741399999999999
318,Thinner (1996),Thinner,0.04264
319,Spy Hard (1996),SpyHard,0.3952
320,Jack (1996),Jack,0.25772
321,Kingpin (1996),Kingpin,0.2425399999999999
322,Tales from the Crypt Presents: Bordello of Blood (1996),TalesfromtheCryptPresents:BordelloofBlood,0.0
323,My Favorite Year (1982),MyFavoriteYear,0.8834
324,Old Yeller (1957),OldYeller,0.49096
325,Cinderella (1950),Cinderella,0.0028999999999999
326,Mary Poppins (1964),MaryPoppins,0.46864
327,Alice in Wonderland (1951),AliceinWonderland,0.12738
328,William Shakespeare's Romeo and Juliet (1996),WilliamShakespeare'sRomeoandJuliet,0.0
329,Aladdin and the King of Thieves (1996),AladdinandtheKingofThieves,-0.1027
330,E.T. the Extra-Terrestrial (1982),E.T.theExtra-Terrestrial,0.0
331,Children of the Corn: The Gathering (1996),ChildrenoftheCorn:TheGathering,0.0
332,Bob Roberts (1992),BobRoberts,0.0
333,To Kill a Mockingbird (1962),ToKillaMockingbird,0.3316
334,Harold and Maude (1971),HaroldandMaude,0.7668
335,Duck Soup (1933),DuckSoup,-0.29876
336,Highlander (1986),Highlander,0.4811199999999999
337,Fantasia (1940),Fantasia,0.39792
338,Heathers (1989),Heathers,0.2383799999999999
339,Forbidden Planet (1956),ForbiddenPlanet,0.19698
340,Butch Cassidy and the Sundance Kid (1969),ButchCassidyandtheSundanceKid,0.34282
341,Amityville 1992: It's About Time (1992),Amityville1992:It'sAboutTime,0.0
342,Amityville 3-D (1983),Amityville3-D,0.0
343,Amityville: A New Generation (1993),Amityville:ANewGeneration,0.0
344,Amityville II: The Possession (1982),AmityvilleII:ThePossession,0.0
345,Burnt Offerings (1976),BurntOfferings,0.315675
346,Carrie (1976),Carrie,0.3243999999999999
347,Star Trek: The Motion Picture (1979),StarTrek:TheMotionPicture,0.46886
348,Star Trek V: The Final Frontier (1989),StarTrekV:TheFinalFrontier,0.0
349,Grease (1978),Grease,0.23284
350,Jaws 2 (1978),Jaws2,-0.0036
351,Jaws 3-D (1983),Jaws3-D,0.0
352,Bastard Out of Carolina (1996),BastardOutofCarolina,0.0
353,Jackie Chan's First Strike (1996),JackieChan'sFirstStrike,0.0
354,Beverly Hills Ninja (1997),BeverlyHillsNinja,0.0
355,Free Willy 3: The Rescue (1997),FreeWilly3:TheRescue,0.0
356,Nixon (1995),Nixon,-0.05244
357,"Cry, the Beloved Country (1995)",CrytheBelovedCountry,-0.08435
358,Smoke (1995),Smoke,-0.19216
359,Like Water For Chocolate (Como agua para chocolate) (1992),LikeWaterForChocolate,0.0
360,Vanya on 42nd Street (1994),Vanyaon42ndStreet,0.0
361,Red Rock West (1992),RedRockWest,0.296
362,Rudy (1993),Rudy,0.21158
363,Short Cuts (1993),ShortCuts,0.24416
364,Tombstone (1993),Tombstone,0.0765199999999999
365,Courage Under Fire (1996),CourageUnderFire,0.3592
366,Dragonheart (1996),Dragonheart,0.19216
367,James and the Giant Peach (1996),JamesandtheGiantPeach,0.3883
368,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Dr.Strangeloveor:HowILearnedtoStopWorryingandLovetheBomb,0.0
369,Trainspotting (1996),Trainspotting,-0.16576
370,Matilda (1996),Matilda,0.29466
371,Vertigo (1958),Vertigo,0.37206
372,North by Northwest (1959),NorthbyNorthwest,0.1689399999999999
373,Some Like It Hot (1959),SomeLikeItHot,0.59948
374,Casablanca (1942),Casablanca,0.0771399999999999
375,My Fair Lady (1964),MyFairLady,0.34568
376,Sabrina (1954),Sabrina,0.19548
377,Roman Holiday (1953),RomanHoliday,0.61166
378,Sunset Blvd. (1950),SunsetBlvd.,0.12738
379,Notorious (1946),Notorious,-0.34786
380,To Catch a Thief (1955),ToCatchaThief,0.0
381,East of Eden (1955),EastofEden,-0.40574
382,His Girl Friday (1940),HisGirlFriday,0.0
383,Around the World in 80 Days (1956),AroundtheWorldin80Days,0.0
384,It's a Wonderful Life (1946),It'saWonderfulLife,0.0
385,Bringing Up Baby (1938),BringingUpBaby,0.3178999999999999
386,Cat on a Hot Tin Roof (1958),CatonaHotTinRoof,0.0986666666666666
387,Fly Away Home (1996),FlyAwayHome,0.0
388,Dumbo (1941),Dumbo,0.04862
389,Bananas (1971),Bananas,-0.06184
390,Bonnie and Clyde (1967),BonnieandClyde,0.46262
391,Dial M for Murder (1954),DialMforMurder,0.2333666666666666
392,Rebel Without a Cause (1955),RebelWithoutaCause,0.2608999999999999
393,My Left Foot (1989),MyLeftFoot,-0.4393
394,Lawrence of Arabia (1962),LawrenceofArabia,0.2487
395,Wings of Desire (1987),WingsofDesire,0.6124
396,Annie Hall (1977),AnnieHall,0.01756
397,"Boot, Das (1981)",BootDas,0.0
398,Local Hero (1983),LocalHero,0.4158
399,Manhattan (1979),Manhattan,-0.0579999999999999
400,Miller's Crossing (1990),Miller'sCrossing,0.0
401,Down by Law (1986),DownbyLaw,0.1894
402,Cool Hand Luke (1967),CoolHandLuke,0.1486
403,Ben-Hur (1959),Ben-Hur,0.20556
404,Gandhi (1982),Gandhi,0.14344
405,My Life as a Dog (Mitt liv som hund) (1985),MyLifeasaDog,0.0
406,Shine (1996),Shine,0.13998
407,Kama Sutra: A Tale of Love (1996),KamaSutra:ATaleofLove,0.0
408,Traveller (1997),Traveller,0.16376
409,Addicted to Love (1997),AddictedtoLove,0.4075999999999999
410,Ponette (1996),Ponette,0.12782
411,My Own Private Idaho (1991),MyOwnPrivateIdaho,0.4019
412,Anastasia (1997),Anastasia,0.24294
413,Mouse Hunt (1997),MouseHunt,0.27824
414,Money Train (1995),MoneyTrain,0.16252
415,Mortal Kombat (1995),MortalKombat,0.42284
416,Pocahontas (1995),Pocahontas,0.15088
417,"Misérables, Les (1995)",MisérablesLes,0.0
418,Things to Do in Denver when You're Dead (1995),ThingstoDoinDenverwhenYou'reDead,0.0
419,Vampire in Brooklyn (1995),VampireinBrooklyn,0.2541
420,Broken Arrow (1996),BrokenArrow,0.20646
421,Rob Roy (1995),RobRoy,-0.23788
422,Die Hard: With a Vengeance (1995),DieHard:WithaVengeance,0.0
423,Lord of Illusions (1995),LordofIllusions,0.0
424,Species (1995),Species,-0.10562
425,Waterworld (1995),Waterworld,0.29222
426,White Man's Burden (1995),WhiteMan'sBurden,0.0
427,Wild Bill (1995),WildBill,0.3091
428,Farinelli: il castrato (1994),Farinelli:ilcastrato,0.0
429,Heavenly Creatures (1994),HeavenlyCreatures,0.0
430,Interview with the Vampire (1994),InterviewwiththeVampire,-0.0643799999999999
431,Mary Shelley's Frankenstein (1994),MaryShelley'sFrankenstein,0.0
432,Stephen King's The Langoliers (1995),StephenKing'sTheLangoliers,0.0
433,Tales from the Hood (1995),TalesfromtheHood,-0.1027
434,Village of the Damned (1995),VillageoftheDamned,0.0386
435,Clear and Present Danger (1994),ClearandPresentDanger,-0.18508
436,Wes Craven's New Nightmare (1994),WesCraven'sNewNightmare,0.0
437,Speed (1994),Speed,0.07186
438,Wolf (1994),Wolf,-0.51686
439,Wyatt Earp (1994),WyattEarp,0.2799999999999999
440,Another Stakeout (1993),AnotherStakeout,0.0
441,Blown Away (1994),BlownAway,0.39616
442,Body Snatchers (1993),BodySnatchers,-0.00938
443,Boxing Helena (1993),BoxingHelena,0.0657499999999999
444,City Slickers II: The Legend of Curly's Gold (1994),CitySlickersII:TheLegendofCurly'sGold,0.0
445,Cliffhanger (1993),Cliffhanger,-0.12226
446,Coneheads (1993),Coneheads,0.0497599999999999
447,Demolition Man (1993),DemolitionMan,0.0648
448,Fatal Instinct (1993),FatalInstinct,0.0
449,Kalifornia (1993),Kalifornia,0.4758
450,Romeo Is Bleeding (1993),RomeoIsBleeding,0.0
451,Son in Law (1993),SoninLaw,0.4137
452,Terminal Velocity (1994),TerminalVelocity,0.0
453,Beauty and the Beast (1991),BeautyandtheBeast,0.6505799999999999
454,Hellraiser: Bloodline (1996),Hellraiser:Bloodline,0.0271
455,Primal Fear (1996),PrimalFear,-0.21538
456,True Crime (1995),TrueCrime,-0.24134
457,Stalingrad (1993),Stalingrad,-0.1299
458,Heavy (1995),Heavy,0.0202199999999999
459,Eraser (1996),Eraser,-0.0373999999999999
460,Police Story 4: Project S (Chao ji ji hua) (1993),PoliceStory4:ProjectS,0.0
461,Daniel Defoe's Robinson Crusoe (1996),DanielDefoe'sRobinsonCrusoe,0.0
462,For Whom the Bell Tolls (1943),ForWhomtheBellTolls,0.0355399999999999
463,Rear Window (1954),RearWindow,0.0
464,It Happened One Night (1934),ItHappenedOneNight,0.1468
465,Meet Me in St. Louis (1944),MeetMeinSt.Louis,0.0
466,All About Eve (1950),AllAboutEve,0.0
467,Rebecca (1940),Rebecca,0.29598
468,Spellbound (1945),Spellbound,0.6411
469,Father of the Bride (1950),FatheroftheBride,0.1122
470,Gigi (1958),Gigi,0.1315599999999999
471,Laura (1944),Laura,0.34692
472,Lost Horizon (1937),LostHorizon,0.24695
473,My Man Godfrey (1936),MyManGodfrey,0.0
474,Giant (1956),Giant,0.4377399999999999
475,Night of the Living Dead (1968),NightoftheLivingDead,-0.3507399999999999
476,Picnic (1955),Picnic,0.35764
477,Extreme Measures (1996),ExtremeMeasures,0.0
478,"Davy Crockett, King of the Wild Frontier (1955)",DavyCrockettKingoftheWildFrontier,0.0
479,Swiss Family Robinson (1960),SwissFamilyRobinson,0.0
480,Angels in the Outfield (1994),AngelsintheOutfield,-0.1561
481,So Dear to My Heart (1949),SoDeartoMyHeart,0.0
482,Robin Hood: Prince of Thieves (1991),RobinHood:PrinceofThieves,-0.2485499999999999
483,Sleepers (1996),Sleepers,0.32474
484,Victor/Victoria (1982),Victor/Victoria,0.1188
485,Sophie's Choice (1982),Sophie'sChoice,0.0
